INFO:root: Username : gjhghk | Card Number : 4574584 | Amount : 10000 | Transaction Type : buy_ticket | DateTime : 2024-02-02 21:52:35.515611
INFO:root: Username : mraghdasi | Card Number : 5892-1001457-568568 | Amount : 20000 | Transaction Type : withdraw_card | DateTime : 2024-02-03 00:05:27.934382
INFO:root: Username : Mraghdasi33  | Amount : 5000 | Transaction Type : cancel_ticket | DateTime : 2024-02-12 03:40:14.011969
INFO:root: Username : Mraghdasi33  | Amount : -5000 | Transaction Type : buy_ticket | DateTime : 2024-02-12 03:40:53.959647
INFO:root: Username : Mraghdasi33  | Amount : 2500.0 | Transaction Type : deposit_wallet | DateTime : 2024-02-12 03:40:53.964141
INFO:root: Username : soroush223132  | Amount : 1000 | Transaction Type : deposit | DateTime : 2024-02-12 19:24:49.198352
INFO:root: Username : soroush223132  | Amount : 1000 | Transaction Type : deposit | DateTime : 2024-02-12 19:26:33.107650
INFO:root: Username : soroush223132  | Amount : 0 | Transaction Type : withdraw | DateTime : 2024-02-12 19:28:10.451836
INFO:root: Username : soroush223132  | Amount : 1000 | Transaction Type : deposit | DateTime : 2024-02-12 20:04:54.551079
INFO:root: Username : soroush223132  | Amount : 0 | Transaction Type : withdraw | DateTime : 2024-02-12 20:04:54.579400
INFO:root: Username : aA11  | Amount : -5000 | Transaction Type : buy_ticket | DateTime : 2024-02-12 20:55:22.295811
INFO:root: Username : aA11  | Amount : 0 | Transaction Type : deposit_wallet | DateTime : 2024-02-12 20:55:22.303987
INFO:root: Username : aA11  | Amount : -5000 | Transaction Type : buy_ticket | DateTime : 2024-02-12 20:56:21.093770
INFO:root: Username : aA11  | Amount : -5000 | Transaction Type : buy_ticket | DateTime : 2024-02-12 20:57:27.938006
INFO:root: Username : aA11  | Amount : 2500.0 | Transaction Type : deposit_wallet | DateTime : 2024-02-12 20:57:27.949573
INFO:root: Username : aA11  | Amount : 5000 | Transaction Type : cancel_ticket | DateTime : 2024-02-12 20:58:14.771765
INFO:root: Username : aA11  | Amount : 5000 | Transaction Type : cancel_ticket | DateTime : 2024-02-12 20:58:28.748807
INFO:root: Username : aA11  | Amount : 5000 | Transaction Type : cancel_ticket | DateTime : 2024-02-12 20:58:31.530777
INFO:root: Username : aA11  | Amount : -1000 | Transaction Type : buy_ticket | DateTime : 2024-02-12 20:59:05.979017
INFO:root: Username : aA11  | Amount : 500.0 | Transaction Type : deposit_wallet | DateTime : 2024-02-12 20:59:05.992948
INFO:root: Username : aA11  | Amount : -1000 | Transaction Type : buy_ticket | DateTime : 2024-02-12 20:59:15.306235
INFO:root: Username : aA11  | Amount : 500.0 | Transaction Type : deposit_wallet | DateTime : 2024-02-12 20:59:15.318199
INFO:root: Username : aA11  | Amount : -1000 | Transaction Type : buy_ticket | DateTime : 2024-02-12 20:59:32.789223
INFO:root: Username : aA11  | Amount : 500.0 | Transaction Type : deposit_wallet | DateTime : 2024-02-12 20:59:32.804073
INFO:root: Username : aA11  | Amount : 1000 | Transaction Type : cancel_ticket | DateTime : 2024-02-12 20:59:56.944364
INFO:root: Username : aA11  | Amount : 1000 | Transaction Type : cancel_ticket | DateTime : 2024-02-12 20:59:59.454212
INFO:root: Username : aA11  | Amount : 1000 | Transaction Type : cancel_ticket | DateTime : 2024-02-12 21:00:02.374659
